wl	I	dolp	aop	docp
400.0	NaN	NaN	NaN	NaN
400.3003003003003	0.00017052475867016054	0.544537126233598	-10.247526675162497	-0.838736739479829
400.6006006006006	0.00017662769993074143	0.6461401395389273	-9.5965807820461	-0.763218789127086
400.9009009009009	NaN	NaN	NaN	NaN
401.20120120120123	0.0002020480619139613	0.7773926553984981	-10.421330540182327	-0.6290156272561691
401.5015015015015	NaN	NaN	NaN	NaN
401.8018018018018	NaN	NaN	NaN	NaN
402.1021021021021	0.00013838585533800746	0.7531255158403779	-7.227699665071959	-0.6578768557945815
402.4024024024024	0.0001505537275410813	0.45385448128849026	-3.1572321503815153	-0.891075815974351
402.7027027027027	NaN	NaN	NaN	NaN
403.003003003003	0.00012740612693487897	0.511909917949578	-3.28146579295324	-0.8590391352580256
403.3033033033033	0.00010178295769364803	0.48563977380826556	3.733759901434601	-0.8741590302087239
403.60360360360363	0.00010631480487988354	0.5166451301219273	3.358261461572066	-0.8561996318156746
403.9039039039039	0.00011255220477636221	0.6212323814961818	-6.917293418489139	-0.7836263957911209
404.2042042042042	0.0001117333093839725	0.6139182541984398	-4.103354141850982	-0.7893696074475758
404.5045045045045	0.000148464075942934	0.4840579672766834	-6.498223923875259	-0.8750359331570133
404.8048048048048	0.00015848047025302512	0.4321946074330274	-10.982315922254218	-0.9017803620094038
405.1051051051051	0.0002174468999956353	0.3817255366231896	-9.82936247124608	-0.9242757243862558
405.4054054054054	NaN	NaN	NaN	NaN
405.7057057057057	0.00023773042551349018	0.2898652669395892	-10.101687514278002	-0.9570674621060109
406.00600600600603	NaN	NaN	NaN	NaN
406.3063063063063	0.00031772912436522406	0.25209441080054906	-12.587849959359936	-0.9677026444332597
406.6066066066066	0.0003102289815596297	0.27389471453257086	-16.941752336089184	-0.9617596817038659
406.9069069069069	0.00031528639309938655	0.34076072501295585	-27.71219209797	-0.9401500562615761
407.2072072072072	NaN	NaN	NaN	NaN
407.5075075075075	0.00034547176797686393	0.3615875847145495	-15.674255028305671	-0.8789658462628699
407.8078078078078	0.0003459846830511147	0.3276816168949889	-17.648101535390396	-0.8717313062373316
408.1081081081081	0.0003392766795919689	0.3052066564379039	-17.854492081685102	-0.8695000608093751
408.40840840840843	NaN	NaN	NaN	NaN
408.7087087087087	0.0003718338921899552	0.3197749970788125	-9.438173359566404	-0.8793206916242632
409.009009009009	0.0004103054760509945	0.33776208234896715	-6.2818380586550635	-0.8245933818070912
409.3093093093093	0.0004170719148975739	0.33618395583206423	-3.1835225459807948	-0.7956267993992444
409.6096096096096	0.00043882380859393147	0.2592925814743535	-8.500320412355391	-0.791745480915663
409.9099099099099	0.00045495916162207895	0.2763344815164687	-6.533485288843061	-0.8294034623569814
410.2102102102102	0.00048636930844980054	0.3732066457320221	0.36270757572929424	-0.8426713171755269
410.5105105105105	0.0004957313508336354	0.3097084846592651	1.2367429582871061	-0.7841188555886335
410.81081081081084	0.0005123634093043581	0.2591466298806832	-1.5378597742033762	-0.8379603320092881
411.1111111111111	0.0005468761365432715	0.24745875135526746	-4.185405763091997	-0.8575991868924756
411.4114114114114	NaN	NaN	NaN	NaN
411.7117117117117	0.0005137337477365888	0.31141107710300175	5.997945293641631	-0.9502752975099101
412.012012012012	0.000588681102645116	0.26312761086775155	-0.4875317160227132	-0.9647610379772956
412.3123123123123	0.0006137726951208803	0.28749158141166037	-3.640843952875559	-0.9577831647181019
412.6126126126126	NaN	NaN	NaN	NaN
412.91291291291293	0.0006107296163238736	0.2893363200071768	-12.82374453470836	-0.9572275037443839
413.21321321321324	NaN	NaN	NaN	NaN
413.5135135135135	0.0006663818041620059	0.23728064700659152	-18.393969980059143	-0.9714411431250651
413.8138138138138	0.0006699530463849586	0.2284669946396161	-13.433400477291698	-0.9735516588041652
414.1141141141141	0.000657483709036927	0.19331428177435622	-8.958215454208831	-0.981136885690302
414.4144144144144	NaN	NaN	NaN	NaN
414.7147147147147	NaN	NaN	NaN	NaN
415.015015015015	NaN	NaN	NaN	NaN
415.31531531531533	0.0007178536918337058	0.2235229124221271	-15.672905408231228	-0.9746986752952577
415.61561561561564	NaN	NaN	NaN	NaN
415.9159159159159	NaN	NaN	NaN	NaN
416.2162162162162	NaN	NaN	NaN	NaN
416.5165165165165	0.0006993649500251187	0.16353733177657342	-25.020361071715918	-0.98653714634341
416.8168168168168	0.0007170996246234695	0.13272002663859167	-24.772565779991375	-0.9911535675812561
417.1171171171171	0.0007136166578226984	0.15280795090874102	-23.183109348208138	-0.9882559031642926
417.4174174174174	0.0007162464610004056	0.1468011071596667	-7.819346735095327	-0.9891660300155358
417.71771771771773	NaN	NaN	NaN	NaN
418.01801801801804	0.0007241271837768857	0.14672821659128615	-7.218922657360884	-0.9891768448846447
418.3183183183183	0.0007420217514299025	0.09871159791780423	-16.495224210363258	-0.995116083900021
418.6186186186186	0.0007170245134011259	0.11733659350558732	11.281784515311923	-0.99309220308313
418.9189189189189	NaN	NaN	NaN	NaN
419.2192192192192	NaN	NaN	NaN	NaN
419.5195195195195	0.0007068728087664412	0.052048099446531944	-17.588103481062205	-0.9986445790890791
419.8198198198198	0.0008138649337236753	0.09809017056125749	-9.90026703944386	-0.9951775311165658
420.12012012012013	NaN	NaN	NaN	NaN
420.42042042042044	0.0008804764261574652	0.06651170538238654	25.253695155204294	-0.9977856448391741
420.72072072072075	0.0008925355136401355	0.07662383272385795	15.815485444738531	-0.9970600725426259
421.021021021021	NaN	NaN	NaN	NaN
421.3213213213213	0.0009303882091908494	0.04188230075422885	40.40492581732178	-0.9991225514838168
