"wl","l315c0","l0c0","l45c0","l90c0","l0c315","l0c45","dark","I","dolp","aop","docp"
174.9812841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,NaN
175.37264373660045,134.0,137.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,-22.18287764278694,-0.0
175.7639602620036,139.0,138.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,-22.603421535388662,-0.0
176.15523367561218,142.0,138.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,-22.909227730844307,-0.0
176.54646397682882,140.0,137.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0,-22.810253823916973,-0.0
176.93765116505628,163.0,158.0,0.0,0.0,0.0,0.0,159.0,0.0,0.0,-22.946192729370274,-0.0
177.32879523969726,146.0,144.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,-22.697568521253746,-0.0
177.7198962001544,144.0,144.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,-22.5,-0.0
178.1109540458305,146.0,142.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,-22.897861776369638,-0.0
178.5019687761282,143.0,142.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,-22.600518498917303,-0.0
178.8929403904502,142.0,140.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,-22.703173116654515,-0.0
179.28386888819924,140.0,145.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,-21.99745699737291,-0.0
179.67475426877795,139.0,146.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,-21.796509060508992,-0.0
180.0655965315891,143.0,144.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,-22.400181972737812,-0.0
180.45639567603533,144.0,140.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,-22.903464727551185,-0.0
180.84715170151944,144.0,142.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,-22.700331627896077,-0.0
181.23786460744404,148.0,144.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,-22.892412301495945,-0.0
181.62853439321185,143.0,146.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,-22.20262774239075,-0.0
182.0191610582256,144.0,142.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,-22.700331627896077,-0.0
182.40974460188792,144.0,146.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,-22.302431478746257,-0.0
182.8002850236016,146.0,145.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,-22.598445969035957,-0.0
183.1907823227693,143.0,142.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,-22.600518498917303,-0.0
183.58123649879374,142.0,142.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,-22.5,-0.0
183.9716475510776,143.0,148.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,-22.00781664847264,-0.0
184.36201547902357,142.0,144.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,-22.299668372103927,-0.0
184.7523402820344,145.0,144.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,-22.599127250599597,-0.0
185.14262195951275,147.0,151.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,-22.115487658710983,-0.0
185.5328605108613,146.0,144.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,-22.697568521253746,-0.0
185.9230559354828,147.0,149.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,-22.306436122924527,-0.0
186.31320823277994,144.0,145.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,-22.400872749400403,-0.0
186.7033174021554,142.0,149.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,-21.81100837684753,-0.0
187.09338344301193,148.0,146.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,-22.694880597659033,-0.0
187.48340635475216,150.0,148.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,-22.692264829792254,-0.0
187.87338613677886,169.0,163.0,0.0,0.0,0.0,0.0,164.0,0.0,0.0,-23.017676593272473,-0.0
188.26332278849466,150.0,147.0,0.0,0.0,0.0,0.0,149.0,0.0,0.0,-22.78936278280388,-0.0
188.65321630930234,146.0,150.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,-22.11288991753597,-0.0
189.04306669860452,147.0,148.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,-22.402888881265085,-0.0
189.43287395580398,149.0,143.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,-23.08857244299103,-0.0
189.8226380803034,151.0,144.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,-23.17965289303431,-0.0
190.2123590715054,154.0,151.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,-22.781773435407008,-0.0
190.60203692881282,148.0,146.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,-22.694880597659033,-0.0
190.99167165162825,144.0,146.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,-22.302431478746257,-0.0
191.3812632393544,143.0,151.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,-21.72065789689459,-0.0
191.77081169139407,146.0,147.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,-22.402226011864574,-0.0
192.16031700714984,149.0,146.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,-22.791324429593242,-0.0
192.5497791860245,161.0,167.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,-21.97601167699676,-0.0
192.93919822742066,147.0,152.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,-22.02098294566202,-0.0
193.32857413074112,152.0,152.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,-22.5,-0.0
193.71790689538855,148.0,144.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,-22.892412301495945,-0.0
194.10719652076557,145.0,143.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,-22.698940480917297,-0.0
194.496443006275,148.0,145.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,-22.79331285375528,-0.0
194.8856463513195,145.0,149.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,-22.110256839440762,-0.0
195.27480655530172,142.0,148.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,-21.907369590688802,-0.0
195.66392361762445,148.0,148.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,-22.5,-0.0
196.0529975376903,148.0,142.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,-23.092630409311198,-0.0
196.44202831490205,145.0,146.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,-22.401554030964046,-0.0
