SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Fri May 01 10:34:04 EST 2015
User: ocean
Dark Spectrum Present: No
Reference Spectrum Present: No
Number of Sampled Component Spectra: 1
Spectrometers: USB4E02642
Integration Time (usec): 150000 (USB4E02642)
Spectra Averaged: 1 (USB4E02642)
Boxcar Smoothing: 0 (USB4E02642)
Correct for Electrical Dark: No (USB4E02642)
Strobe/Lamp Enabled: No (USB4E02642)
Correct for Detector Non-linearity: No (USB4E02642)
Correct for Stray Light: No (USB4E02642)
Number of Pixels in Processed Spectrum: 3648
>>>>>Begin Processed Spectral Data<<<<<
179.22	980.98
179.43	980.98
179.65	980.98
179.86	1066.99
180.08	1021.94
180.29	1329.13
180.51	1267.69
180.72	1284.08
180.94	1292.27
181.15	1236.97
181.37	1339.37
181.58	1191.92
181.80	1331.18
182.01	1251.31
182.23	1314.80
182.44	1300.46
182.66	1265.64
182.87	1329.13
183.09	1224.69
183.30	1284.08
183.52	1343.47
183.73	1333.23
183.95	1322.99
184.16	1261.55
184.38	1402.86
184.59	1284.08
184.81	1286.12
185.02	1355.76
185.24	1273.84
185.45	1279.98
185.67	1331.18
185.88	1302.51
186.10	1222.64
186.31	1196.01
186.53	1288.17
186.74	1239.02
186.96	1341.42
187.17	1279.98
187.39	1310.70
187.60	1261.55
187.81	1447.91
188.03	1435.63
188.24	1341.42
188.46	1312.75
188.67	1357.80
188.89	1232.88
189.10	1431.53
189.32	1353.71
189.53	1394.67
189.75	1325.04
189.96	1429.48
190.18	1269.74
190.39	1290.22
190.61	1318.89
190.82	1265.64
191.04	1406.95
191.25	1486.83
191.46	1382.38
191.68	1306.60
191.89	1273.84
192.11	1347.56
192.32	1284.08
192.54	1271.79
192.75	1247.21
192.97	1275.88
193.18	1325.04
193.40	1341.42
193.61	1355.76
193.83	1351.66
194.04	1361.90
194.25	1355.76
194.47	1298.41
194.68	1353.71
194.90	1314.80
195.11	1347.56
195.33	1269.74
195.54	1415.15
195.76	1384.43
195.97	1265.64
196.18	1345.52
196.40	1431.53
196.61	1269.74
196.83	1349.61
197.04	1349.61
197.26	1474.54
197.47	1390.57
197.69	1249.26
197.90	1325.04
198.11	1292.27
198.33	1286.12
198.54	1220.59
198.76	1427.43
198.97	1331.18
199.19	1284.08
199.40	1318.89
199.61	1273.84
199.83	1241.07
200.04	1349.61
200.26	1380.33
200.47	1298.41
200.69	1327.08
200.90	1398.76
201.11	1224.69
201.33	1284.08
201.54	1425.39
201.76	1425.39
201.97	1296.36
202.19	1374.19
202.40	1396.71
202.61	1296.36
202.83	1339.37
203.04	1343.47
203.26	1368.04
203.47	1292.27
203.68	1423.34
203.90	1259.50
204.11	1337.32
204.33	1255.40
204.54	1415.15
204.75	1312.75
204.97	1269.74
205.18	1267.69
205.40	1282.03
205.61	1294.32
205.83	1517.54
206.04	1325.04
206.25	1363.95
206.47	1437.67
206.68	1398.76
206.90	1279.98
207.11	1271.79
207.32	1181.68
207.54	1314.80
207.75	1314.80
207.97	1361.90
208.18	1267.69
208.39	1378.28
208.61	1316.84
208.82	1411.05
209.03	1394.67
209.25	1490.92
209.46	1316.84
209.68	1300.46
209.89	1275.88
210.10	1286.12
210.32	1298.41
210.53	1298.41
210.75	1378.28
210.96	1267.69
211.17	1329.13
211.39	1267.69
211.60	1263.60
211.82	1279.98
212.03	1325.04
212.24	1322.99
212.46	1255.40
212.67	1390.57
212.88	1243.12
213.10	1318.89
213.31	1296.36
213.53	1380.33
213.74	1333.23
213.95	1363.95
214.17	1353.71
214.38	1394.67
214.59	1390.57
214.81	1433.58
215.02	1361.90
215.23	1310.70
215.45	1210.35
215.66	1329.13
215.88	1353.71
216.09	1214.45
216.30	1247.21
216.52	1316.84
216.73	1228.78
216.94	1335.28
217.16	1394.67
217.37	1341.42
217.58	1306.60
217.80	1468.39
218.01	1267.69
218.22	1445.87
218.44	1220.59
218.65	1368.04
218.87	1290.22
219.08	1388.52
219.29	1376.24
219.51	1415.15
219.72	1304.56
219.93	1390.57
220.15	1366.00
220.36	1243.12
220.57	1370.09
220.79	1218.54
221.00	1296.36
221.21	1398.76
221.43	1445.87
221.64	1275.88
221.85	1327.08
222.07	1296.36
222.28	1341.42
222.49	1243.12
222.71	1247.21
222.92	1236.97
223.13	1173.49
223.35	1222.64
223.56	1376.24
223.77	1245.16
223.99	1314.80
224.20	1353.71
224.41	1265.64
224.63	1460.20
224.84	1249.26
225.05	1413.10
225.27	1419.24
225.48	1431.53
225.69	1288.17
225.91	1292.27
226.12	1214.45
226.33	1517.54
226.55	1290.22
226.76	1251.31
226.97	1249.26
227.19	1361.90
227.40	1337.32
227.61	1286.12
227.82	1413.10
228.04	1220.59
228.25	1177.58
228.46	1312.75
228.68	1316.84
228.89	1413.10
229.10	1298.41
229.32	1306.60
229.53	1322.99
229.74	1296.36
229.96	1357.80
230.17	1322.99
230.38	1486.83
230.59	1337.32
230.81	1282.03
231.02	1288.17
231.23	1200.11
231.45	1351.66
231.66	1316.84
231.87	1341.42
232.09	1337.32
232.30	1210.35
232.51	1314.80
232.72	1267.69
232.94	1202.16
233.15	1372.14
233.36	1191.92
233.58	1259.50
233.79	1294.32
234.00	1347.56
234.21	1390.57
234.43	1349.61
234.64	1312.75
234.85	1298.41
235.07	1292.27
235.28	1380.33
235.49	1296.36
235.70	1421.29
235.92	1382.38
236.13	1288.17
236.34	1374.19
236.56	1130.48
236.77	1226.73
236.98	1331.18
237.19	1374.19
237.41	1329.13
237.62	1351.66
237.83	1413.10
238.04	1411.05
